station	valid	lon	lat	elevation	tmpc	relh	sknt	sped	metar
AMW	2026-05-01 11:53	-93.6185	41.9904	280.00	3.89	75.73	3.00	3.45	KAMW 011153Z AUTO 29003KT 10SM BKN100 04/00 A3003 RMK AO2 SLP171 T00390000 10061 20011 53002
AMW	2026-05-01 12:53	-93.6185	41.9904	280.00	7.78	62.69	4.00	4.60	KAMW 011253Z AUTO 01004KT 10SM FEW100 08/01 A3004 RMK AO2 SLP172 T00780011
AMW	2026-05-01 13:53	-93.6185	41.9904	280.00	8.89	62.96	9.00	10.35	KAMW 011353Z AUTO 35009KT 10SM SCT075 BKN095 09/02 A3003 RMK AO2 SLP171 T00890022
AMW	2026-05-01 14:53	-93.6185	41.9904	280.00	10.00	60.78	10.00	11.50	KAMW 011453Z AUTO 35010KT 10SM SCT070 OVC095 10/03 A3003 RMK AO2 SLP172 T01000028 51001
AMW	2026-05-01 15:53	-93.6185	41.9904	280.00	11.11	58.71	8.00	9.20	KAMW 011553Z AUTO 35008KT 10SM BKN075 11/03 A3004 RMK AO2 SLP173 T01110033
AMW	2026-05-01 16:53	-93.6185	41.9904	280.00	12.22	48.45	11.00	12.65	KAMW 011653Z AUTO 35011G19KT 10SM SCT048 BKN060 BKN070 12/02 A3004 RMK AO2 SLP174 T01220017
AMW	2026-05-01 17:53	-93.6185	41.9904	280.00	12.22	42.96	14.00	16.10	KAMW 011753Z AUTO 34014G19KT 10SM BKN055 BKN070 BKN085 12/00 A3004 RMK AO2 SLP174 T01220000 10133 20039 51002
AMW	2026-05-01 18:53	-93.6185	41.9904	280.00	12.22	39.62	10.00	11.50	KAMW 011853Z AUTO 31010G19KT 10SM OVC075 12/M01 A3004 RMK AO2 RAB44E53 SLP174 P0000 T01221011
AMW	2026-05-01 19:53	-93.6185	41.9904	280.00	12.22	36.51	11.00	12.65	KAMW 011953Z AUTO 35011G16KT 10SM SCT065 OVC095 12/M02 A3005 RMK AO2 SLP175 T01221022
AMW	2026-05-01 20:53	-93.6185	41.9904	280.00	12.78	35.20	8.00	9.20	KAMW 012053Z AUTO 36008KT 10SM SCT070 OVC100 13/M02 A3004 RMK AO2 SLP174 60000 T01281022 50000
AMW	2026-05-01 21:53	-93.6185	41.9904	280.00	13.33	36.84	12.00	13.80	KAMW 012153Z AUTO 36012KT 10SM SCT070 OVC090 13/M01 A3004 RMK AO2 SLP173 T01331011
AMW	2026-05-01 22:53	-93.6185	41.9904	280.00	12.78	36.67	10.00	11.50	KAMW 012253Z AUTO 01010KT 10SM FEW060 OVC095 13/M02 A3004 RMK AO2 SLP174 T01281017
AMW	2026-05-01 23:53	-93.6185	41.9904	280.00	12.22	38.03	10.00	11.50	KAMW 012353Z AUTO 35010KT 10SM BKN095 12/M02 A3004 RMK AO2 SLP174 60000 T01221017 10133 20117 55000
AMW	2026-05-02 00:53	-93.6185	41.9904	280.00	10.00	42.31	7.00	8.05	KAMW 020053Z AUTO 34007KT 10SM BKN090 10/M02 A3006 RMK AO2 SLP178 T01001022
AMW	2026-05-02 01:53	-93.6185	41.9904	280.00	8.89	47.50	6.00	6.90	KAMW 020153Z AUTO 33006KT 10SM BKN090 09/M02 A3007 RMK AO2 SLP185 T00891017
AMW	2026-05-02 02:53	-93.6185	41.9904	280.00	8.33	49.32	4.00	4.60	KAMW 020253Z AUTO 34004KT 10SM OVC090 08/M02 A3010 RMK AO2 SLP192 T00831017 53018
AMW	2026-05-02 03:53	-93.6185	41.9904	280.00	6.67	57.57	5.00	5.75	KAMW 020353Z AUTO 33005KT 10SM BKN085 07/M01 A3011 RMK AO2 SLP195 T00671011
AMW	2026-05-02 04:53	-93.6185	41.9904	280.00	6.11	57.42	0.00	0.00	KAMW 020453Z AUTO 00000KT 10SM SCT080 06/M02 A3011 RMK AO2 SLP198 T00611017
AMW	2026-05-02 05:53	-93.6185	41.9904	280.00	4.44	67.16	0.00	0.00	KAMW 020553Z AUTO 00000KT 10SM CLR 04/M01 A3012 RMK AO2 SLP201 T00441011 10122 20044 401330011 51008
AMW	2026-05-02 06:53	-93.6185	41.9904	280.00	3.33	72.62	4.00	4.60	KAMW 020653Z AUTO 32004KT 10SM CLR 03/M01 A3012 RMK AO2 SLP202 T00331011
AMW	2026-05-02 07:53	-93.6185	41.9904	280.00	2.78	72.52	3.00	3.45	KAMW 020753Z AUTO 33003KT 10SM CLR 03/M02 A3012 RMK AO2 SLP200 T00281017
AMW	2026-05-02 08:53	-93.6185	41.9904	280.00	2.22	72.41	0.00	0.00	KAMW 020853Z AUTO 00000KT 10SM CLR 02/M02 A3012 RMK AO2 SLP201 T00221022 55001
AMW	2026-05-02 09:53	-93.6185	41.9904	280.00	2.22	72.41	0.00	0.00	KAMW 020953Z AUTO 00000KT 10SM CLR 02/M02 A3012 RMK AO2 SLP202 T00221022
AMW	2026-05-02 10:53	-93.6185	41.9904	280.00	1.67	75.34	0.00	0.00	KAMW 021053Z AUTO 00000KT 10SM CLR 02/M02 A3013 RMK AO2 SLP206 T00171022
AMW	2026-05-02 11:53	-93.6185	41.9904	280.00	1.67	75.34	0.00	0.00	KAMW 021153Z AUTO 00000KT 10SM CLR 02/M02 A3014 RMK AO2 SLP210 T00171022 10044 20006 53008
AMW	2026-05-02 12:53	-93.6185	41.9904	280.00	5.56	62.16	4.00	4.60	KAMW 021253Z AUTO 36004KT 10SM CLR 06/M01 A3016 RMK AO2 SLP214 T00561011
AMW	2026-05-02 13:53	-93.6185	41.9904	280.00	8.89	47.50	0.00	0.00	KAMW 021353Z AUTO 00000KT 10SM CLR 09/M02 A3016 RMK AO2 SLP212 T00891017
AMW	2026-05-02 14:53	-93.6185	41.9904	280.00	11.11	34.70	5.00	5.75	KAMW 021453Z AUTO 32005KT 10SM CLR 11/M04 A3015 RMK AO2 SLP211 T01111039 50003
AMW	2026-05-02 15:53	-93.6185	41.9904	280.00	11.67	32.08	0.00	0.00	KAMW 021553Z AUTO 00000KT 10SM CLR 12/M04 A3014 RMK AO2 SLP208 T01171044
AMW	2026-05-02 16:53	-93.6185	41.9904	280.00	13.33	29.98	8.00	9.20	KAMW 021653Z AUTO 28008KT 10SM CLR 13/M04 A3013 RMK AO2 SLP205 T01331039
AMW	2026-05-02 17:53	-93.6185	41.9904	280.00	13.89	27.73	8.00	9.20	KAMW 021753Z AUTO 25008KT 10SM CLR 14/M04 A3012 RMK AO2 SLP200 T01391044 10139 20022 58010
AMW	2026-05-02 18:53	-93.6185	41.9904	280.00	15.00	26.91	8.00	9.20	KAMW 021853Z AUTO 27008KT 10SM CLR 15/M04 A3010 RMK AO2 SLP192 T01501039
AMW	2026-05-02 19:53	-93.6185	41.9904	280.00	15.56	24.91	6.00	6.90	KAMW 021953Z AUTO 31006G17KT 10SM CLR 16/M04 A3007 RMK AO2 SLP183 T01561044
AMW	2026-05-02 20:53	-93.6185	41.9904	280.00	16.67	24.19	4.00	4.60	KAMW 022053Z AUTO VRB04KT 10SM CLR 17/M04 A3004 RMK AO2 SLP173 T01671039 58026
AMW	2026-05-02 21:53	-93.6185	41.9904	280.00	17.78	22.55	10.00	11.50	KAMW 022153Z AUTO 26010KT 10SM CLR 18/M04 A3002 RMK AO2 SLP165 T01781039
AMW	2026-05-02 22:53	-93.6185	41.9904	280.00	17.78	22.55	8.00	9.20	KAMW 022253Z AUTO 25008KT 10SM CLR 18/M04 A3000 RMK AO2 SLP159 T01781039
AMW	2026-05-02 23:53	-93.6185	41.9904	280.00	17.22	25.38	6.00	6.90	KAMW 022353Z AUTO 23006KT 10SM CLR 17/M03 A2998 RMK AO2 SLP153 T01721028 10183 20133 56019
AMW	2026-05-03 00:53	-93.6185	41.9904	280.00	14.44	32.90	7.00	8.05	KAMW 030053Z AUTO 21007KT 10SM CLR 14/M02 A2997 RMK AO2 SLP149 T01441017
AMW	2026-05-03 01:53	-93.6185	41.9904	280.00	13.33	35.36	7.00	8.05	KAMW 030153Z AUTO 19007KT 10SM CLR 13/M02 A2997 RMK AO2 SLP147 T01331017
AMW	2026-05-03 02:53	-93.6185	41.9904	280.00	11.67	41.10	9.00	10.35	KAMW 030253Z AUTO 18009KT 10SM CLR 12/M01 A2997 RMK AO2 SLP147 T01171011 55004
AMW	2026-05-03 03:53	-93.6185	41.9904	280.00	11.11	42.64	10.00	11.50	KAMW 030353Z AUTO 18010KT 10SM CLR 11/M01 A2994 RMK AO2 SLP138 T01111011
AMW	2026-05-03 04:53	-93.6185	41.9904	280.00	10.56	44.24	9.00	10.35	KAMW 030453Z AUTO 18009KT 10SM FEW110 11/M01 A2993 RMK AO2 SLP132 T01061011
AMW	2026-05-03 05:53	-93.6185	41.9904	280.00	10.56	44.24	10.00	11.50	KAMW 030553Z AUTO 18010KT 10SM CLR 11/M01 A2991 RMK AO2 SLP127 T01061011 10172 20106 401830006 56020
AMW	2026-05-03 06:53	-93.6185	41.9904	280.00	10.00	45.91	8.00	9.20	KAMW 030653Z AUTO 18008KT 10SM CLR 10/M01 A2990 RMK AO2 SLP122 T01001011
AMW	2026-05-03 07:53	-93.6185	41.9904	280.00	11.67	42.80	9.00	10.35	KAMW 030753Z AUTO 18009KT 10SM FEW075 OVC100 12/M01 A2987 RMK AO2 SLP113 T01171006
AMW	2026-05-03 08:53	-93.6185	41.9904	280.00	11.67	42.80	12.00	13.80	KAMW 030853Z AUTO 18012KT 10SM BKN110 12/M01 A2984 RMK AO2 SLP100 T01171006 58024
AMW	2026-05-03 09:53	-93.6185	41.9904	280.00	11.11	46.24	8.00	9.20	KAMW 030953Z AUTO 19008G18KT 10SM SCT110 11/00 A2983 RMK AO2 SLP097 T01110000
AMW	2026-05-03 10:53	-93.6185	41.9904	280.00	10.00	51.84	10.00	11.50	KAMW 031053Z AUTO 20010KT 10SM CLR 10/01 A2981 RMK AO2 SLP093 T01000006
AMW	2026-05-03 11:53	-93.6185	41.9904	280.00	10.56	51.99	13.00	14.95	KAMW 031153Z AUTO 20013G22KT 10SM CLR 11/01 A2979 RMK AO2 SLP084 T01060011 10117 20100 58016
AMW	2026-05-03 12:53	-93.6185	41.9904	280.00	12.22	48.45	12.00	13.80	KAMW 031253Z AUTO 22012KT 10SM CLR 12/02 A2979 RMK AO2 SLP086 T01220017
AMW	2026-05-03 13:53	-93.6185	41.9904	280.00	15.00	40.44	18.00	20.70	KAMW 031353Z AUTO 25018KT 10SM CLR 15/02 A2979 RMK AO2 SLP083 T01500017
AMW	2026-05-03 14:53	-93.6185	41.9904	280.00	17.78	36.68	14.00	16.10	KAMW 031453Z AUTO 28014G23KT 10SM CLR 18/03 A2978 RMK AO2 PK WND 26027/1358 SLP081 T01780028 58002
AMW	2026-05-03 15:53	-93.6185	41.9904	280.00	18.89	35.59	12.00	13.80	KAMW 031553Z AUTO 29012G20KT 10SM CLR 19/03 A2978 RMK AO2 SLP081 T01890033
AMW	2026-05-03 16:53	-93.6185	41.9904	280.00	21.67	26.63	16.00	18.40	KAMW 031653Z AUTO 31016G24KT 10SM CLR 22/02 A2978 RMK AO2 SLP079 T02170017
AMW	2026-05-03 17:53	-93.6185	41.9904	280.00	22.22	24.74	15.00	17.25	KAMW 031753Z AUTO 35015G28KT 10SM CLR 22/01 A2977 RMK AO2 PK WND 35028/1747 SLP077 T02220011 10222 20106 58002
AMW	2026-05-03 18:53	-93.6185	41.9904	280.00	22.78	22.98	14.00	16.10	KAMW 031853Z AUTO 32014G24KT 10SM CLR 23/01 A2977 RMK AO2 SLP076 T02280006
AMW	2026-05-03 19:53	-93.6185	41.9904	280.00	23.33	21.34	14.00	16.10	KAMW 031953Z AUTO 30014G25KT 10SM CLR 23/00 A2977 RMK AO2 SLP073 T02330000
AMW	2026-05-03 20:48	-93.6185	41.9904	280.00	24.00	20.50	9.00	10.35	KAMW 032048Z AUTO 31009G19KT 3SM HZ FEW002 24/00 A2976 RMK AO2
AMW	2026-05-03 20:53	-93.6185	41.9904	280.00	23.89	20.64	12.00	13.80	KAMW 032053Z AUTO 31012G21KT 10SM CLR 24/00 A2975 RMK AO2 SLP069 T02390000 56006
AMW	2026-05-03 21:53	-93.6185	41.9904	280.00	23.89	17.54	10.00	11.50	KAMW 032153Z AUTO 28010G18KT 10SM CLR 24/M02 A2975 RMK AO2 SLP067 T02391022
AMW	2026-05-03 22:53	-93.6185	41.9904	280.00	23.89	19.03	12.00	13.80	KAMW 032253Z AUTO 32012G18KT 10SM CLR 24/M01 A2974 RMK AO2 SLP065 T02391011
AMW	2026-05-03 23:53	-93.6185	41.9904	280.00	22.78	19.54	10.00	11.50	KAMW 032353Z AUTO 29010KT 10SM CLR 23/M02 A2974 RMK AO2 SLP065 T02281017 10244 20222 56005
AMW	2026-05-04 00:53	-93.6185	41.9904	280.00	20.00	25.12	5.00	5.75	KAMW 040053Z AUTO 29005KT 10SM CLR 20/M01 A2974 RMK AO2 SLP064 T02001006
AMW	2026-05-04 01:53	-93.6185	41.9904	280.00	12.78	50.57	5.00	5.75	KAMW 040153Z AUTO 24005KT 10SM CLR 13/03 A2974 RMK AO2 SLP067 T01280028
AMW	2026-05-04 02:53	-93.6185	41.9904	280.00	13.89	41.75	7.00	8.05	KAMW 040253Z AUTO 25007KT 10SM CLR 14/01 A2974 RMK AO2 SLP066 T01390011 53001
AMW	2026-05-04 03:53	-93.6185	41.9904	280.00	11.67	50.26	7.00	8.05	KAMW 040353Z AUTO 25007KT 10SM CLR 12/02 A2973 RMK AO2 SLP063 T01170017
AMW	2026-05-04 04:53	-93.6185	41.9904	280.00	8.89	62.96	7.00	8.05	KAMW 040453Z AUTO 23007KT 10SM CLR 09/02 A2971 RMK AO2 SLP057 T00890022
AMW	2026-05-04 05:53	-93.6185	41.9904	280.00	8.89	62.96	7.00	8.05	KAMW 040553Z AUTO 23007KT 10SM CLR 09/02 A2969 RMK AO2 SLP051 T00890022 10228 20089 402440089 58015
AMW	2026-05-04 06:53	-93.6185	41.9904	280.00	8.89	62.96	5.00	5.75	KAMW 040653Z AUTO 24005KT 10SM CLR 09/02 A2968 RMK AO2 SLP044 T00890022
AMW	2026-05-04 07:53	-93.6185	41.9904	280.00	7.78	67.89	6.00	6.90	KAMW 040753Z AUTO 23006KT 10SM CLR 08/02 A2965 RMK AO2 SLP036 T00780022
AMW	2026-05-04 08:53	-93.6185	41.9904	280.00	8.89	62.96	3.00	3.45	KAMW 040853Z AUTO 19003KT 10SM CLR 09/02 A2963 RMK AO2 SLP028 T00890022 58022
AMW	2026-05-04 09:53	-93.6185	41.9904	280.00	7.78	73.46	0.00	0.00	KAMW 040953Z AUTO 00000KT 10SM CLR 08/03 A2961 RMK AO2 SLP023 T00780033
AMW	2026-05-04 10:53	-93.6185	41.9904	280.00	6.11	82.36	0.00	0.00	KAMW 041053Z AUTO 00000KT 10SM CLR 06/03 A2960 RMK AO2 SLP018 T00610033
AMW	2026-05-04 11:53	-93.6185	41.9904	280.00	8.33	73.56	3.00	3.45	KAMW 041153Z AUTO 19003KT 10SM CLR 08/04 A2959 RMK AO2 SLP015 T00830039 10106 20061 56013
AMW	2026-05-04 12:53	-93.6185	41.9904	280.00	13.89	61.72	0.00	0.00	KAMW 041253Z AUTO 00000KT 10SM SCT110 14/07 A2959 RMK AO2 SLP012 T01390067
AMW	2026-05-04 13:53	-93.6185	41.9904	280.00	18.89	41.58	11.00	12.65	KAMW 041353Z AUTO 21011KT 10SM BKN100 19/06 A2958 RMK AO2 SLP010 T01890056
AMW	2026-05-04 14:53	-93.6185	41.9904	280.00	21.67	37.82	11.00	12.65	KAMW 041453Z AUTO 23011KT 10SM CLR 22/07 A2955 RMK AO2 SLP001 T02170067 58012
AMW	2026-05-04 15:53	-93.6185	41.9904	280.00	24.44	30.78	14.00	16.10	KAMW 041553Z AUTO 24014G20KT 10SM CLR 24/06 A2954 RMK AO2 SLP996 T02440061
AMW	2026-05-04 16:53	-93.6185	41.9904	280.00	26.67	24.03	17.00	19.55	KAMW 041653Z AUTO 26017G31KT 10SM CLR 27/04 A2953 RMK AO2 PK WND 25031/1644 SLP994 T02670044
AMW	2026-05-04 17:53	-93.6185	41.9904	280.00	26.67	23.11	18.00	20.70	KAMW 041753Z AUTO 30018G32KT 10SM CLR 27/04 A2953 RMK AO2 PK WND 28033/1738 SLP992 T02670039 10272 20083 56009
AMW	2026-05-04 18:53	-93.6185	41.9904	280.00	27.78	21.65	12.00	13.80	KAMW 041853Z AUTO 32012G27KT 10SM FEW095 28/04 A2952 RMK AO2 PK WND 26031/1816 SLP990 T02780039
AMW	2026-05-04 19:53	-93.6185	41.9904	280.00	27.22	24.18	16.00	18.40	KAMW 041953Z AUTO 32016G25KT 10SM SCT100 27/05 A2953 RMK AO2 PK WND 28028/1904 SLP992 T02720050
AMW	2026-05-04 20:53	-93.6185	41.9904	280.00	25.56	23.73	17.00	19.55	KAMW 042053Z AUTO 33017G26KT 10SM CLR 26/03 A2954 RMK AO2 PK WND 32029/2009 SLP998 T02560033 53005
AMW	2026-05-04 21:53	-93.6185	41.9904	280.00	24.44	21.63	18.00	20.70	KAMW 042153Z AUTO 34018G24KT 10SM CLR 24/01 A2956 RMK AO2 PK WND 35028/2130 SLP006 T02440011
AMW	2026-05-04 22:53	-93.6185	41.9904	280.00	22.78	22.98	19.00	21.85	KAMW 042253Z AUTO 32019G26KT 10SM CLR 23/01 A2960 RMK AO2 PK WND 34029/2201 SLP018 T02280006
AMW	2026-05-04 23:53	-93.6185	41.9904	280.00	20.00	24.12	20.00	23.00	KAMW 042353Z AUTO 32020G30KT 10SM CLR 20/M01 A2962 RMK AO2 PK WND 34035/2338 SLP026 T02001011 10283 20200 53025
AMW	2026-05-05 00:53	-93.6185	41.9904	280.00	17.22	28.70	22.00	25.30	KAMW 050053Z AUTO 33022G33KT 10SM CLR 17/M01 A2966 RMK AO2 PK WND 32033/0011 PRESRR SLP039 T01721011
AMW	2026-05-05 01:53	-93.6185	41.9904	280.00	15.00	33.07	12.00	13.80	KAMW 050153Z AUTO 31012KT 10SM BKN120 15/M01 A2970 RMK AO2 PK WND 33035/0128 SLP051 T01501011
AMW	2026-05-05 02:53	-93.6185	41.9904	280.00	13.89	37.00	18.00	20.70	KAMW 050253Z AUTO 33018G33KT 10SM -RA FEW075 SCT090 BKN110 14/M01 A2972 RMK AO2 PK WND 33033/0244 RAB01E18B53 SLP058 P0000 60000 T01391006 51033
AMW	2026-05-05 03:53	-93.6185	41.9904	280.00	11.67	48.29	19.00	21.85	KAMW 050353Z AUTO 34019G31KT 10SM FEW060 BKN075 OVC110 12/01 A2972 RMK AO2 PK WND 34040/0319 RAE53 SLP059 P0000 T01170011
AMW	2026-05-05 04:53	-93.6185	41.9904	280.00	11.11	46.24	14.00	16.10	KAMW 050453Z AUTO 35014G22KT 10SM -RA BKN070 OVC085 11/00 A2973 RMK AO2 PK WND 34032/0359 RAB13 SLP061 P0000 T01110000
AMW	2026-05-05 05:53	-93.6185	41.9904	280.00	10.56	44.24	12.00	13.80	KAMW 050553Z AUTO 35012G17KT 10SM -RA BKN075 OVC095 11/M01 A2977 RMK AO2 RAE25B51 SLP073 P0000 60000 T01061011 10200 20106 402830061 53016
AMW	2026-05-05 06:53	-93.6185	41.9904	280.00	10.56	39.12	11.00	12.65	KAMW 050653Z AUTO 35011KT 10SM BKN095 BKN110 11/M03 A2978 RMK AO2 RAE03 SLP078 P0000 T01061028
AMW	2026-05-05 07:53	-93.6185	41.9904	280.00	9.44	42.14	9.00	10.35	KAMW 050753Z AUTO 36009KT 10SM BKN110 09/M03 A2976 RMK AO2 SLP071 T00941028
AMW	2026-05-05 08:53	-93.6185	41.9904	280.00	7.22	53.20	4.00	4.60	KAMW 050853Z AUTO 36004KT 10SM CLR 07/M02 A2978 RMK AO2 SLP079 60000 T00721017 53004
AMW	2026-05-05 09:53	-93.6185	41.9904	280.00	7.22	57.71	3.00	3.45	KAMW 050953Z AUTO 29003KT 10SM CLR 07/M01 A2982 RMK AO2 SLP091 T00721006
AMW	2026-05-05 10:53	-93.6185	41.9904	280.00	5.56	73.05	3.00	3.45	KAMW 051053Z AUTO 27003KT 10SM CLR 06/01 A2983 RMK AO2 SLP099 T00560011
AMW	2026-05-05 11:53	-93.6185	41.9904	280.00	5.56	73.05	5.00	5.75	KAMW 051153Z AUTO 26005KT 10SM CLR 06/01 A2986 RMK AO2 SLP110 60000 T00560011 10111 20044 51027
AMW	2026-05-05 12:53	-93.6185	41.9904	280.00	10.56	46.07	4.00	4.60	KAMW 051253Z AUTO 35004KT 10SM CLR 11/M01 A2986 RMK AO2 SLP107 T01061006
AMW	2026-05-05 13:53	-93.6185	41.9904	280.00	11.11	37.70	0.00	0.00	KAMW 051353Z AUTO 00000KT 10SM CLR 11/M03 A2986 RMK AO2 SLP110 T01111028
AMW	2026-05-05 14:53	-93.6185	41.9904	280.00	11.67	34.87	9.00	10.35	KAMW 051453Z AUTO 30009KT 10SM CLR 12/M03 A2988 RMK AO2 SLP116 T01171033 53006
AMW	2026-05-05 15:53	-93.6185	41.9904	280.00	12.78	31.09	8.00	9.20	KAMW 051553Z AUTO 32008G15KT 10SM BKN070 13/M04 A2988 RMK AO2 SLP115 T01281039
AMW	2026-05-05 16:53	-93.6185	41.9904	280.00	13.89	27.73	12.00	13.80	KAMW 051653Z AUTO 30012G20KT 10SM SCT075 14/M04 A2988 RMK AO2 SLP115 T01391044
AMW	2026-05-05 17:53	-93.6185	41.9904	280.00	15.00	25.81	11.00	12.65	KAMW 051753Z AUTO 30011G24KT 10SM SCT075 15/M04 A2987 RMK AO2 SLP112 T01501044 10156 20061 58004
AMW	2026-05-05 18:53	-93.6185	41.9904	280.00	16.11	24.04	12.00	13.80	KAMW 051853Z AUTO 30012G20KT 10SM BKN080 16/M04 A2986 RMK AO2 SLP108 T01611044
AMW	2026-05-05 19:53	-93.6185	41.9904	280.00	16.11	23.05	13.00	14.95	KAMW 051953Z AUTO 28013G24KT 10SM FEW080 16/M05 A2985 RMK AO2 SLP106 T01611050
AMW	2026-05-05 20:53	-93.6185	41.9904	280.00	15.00	23.73	17.00	19.55	KAMW 052053Z AUTO 30017G25KT 10SM CLR 15/M06 A2984 RMK AO2 PK WND 32027/1956 SLP105 T01501056 56008
AMW	2026-05-05 21:53	-93.6185	41.9904	280.00	14.44	24.59	13.00	14.95	KAMW 052153Z AUTO 30013G25KT 10SM CLR 14/M06 A2983 RMK AO2 SLP101 T01441056
AMW	2026-05-05 22:53	-93.6185	41.9904	280.00	13.89	25.50	13.00	14.95	KAMW 052253Z AUTO 31013G20KT 10SM CLR 14/M06 A2982 RMK AO2 PK WND 30026/2243 SLP099 T01391056
AMW	2026-05-05 23:53	-93.6185	41.9904	280.00	13.33	27.57	15.00	17.25	KAMW 052353Z AUTO 32015G21KT 10SM CLR 13/M05 A2984 RMK AO2 SLP105 T01331050 10161 20133 55000
AMW	2026-05-06 00:53	-93.6185	41.9904	280.00	12.22	28.43	10.00	11.50	KAMW 060053Z AUTO 34010KT 10SM CLR 12/M06 A2986 RMK AO2 SLP108 T01221056
AMW	2026-05-06 01:53	-93.6185	41.9904	280.00	11.11	31.91	13.00	14.95	KAMW 060153Z AUTO 33013KT 10SM CLR 11/M05 A2989 RMK AO2 SLP119 T01111050
AMW	2026-05-06 02:53	-93.6185	41.9904	280.00	10.00	34.37	10.00	11.50	KAMW 060253Z AUTO 33010KT 10SM CLR 10/M05 A2991 RMK AO2 SLP126 T01001050 53021
AMW	2026-05-06 03:53	-93.6185	41.9904	280.00	8.33	38.45	7.00	8.05	KAMW 060353Z AUTO 33007KT 10SM CLR 08/M05 A2992 RMK AO2 SLP131 T00831050
AMW	2026-05-06 04:53	-93.6185	41.9904	280.00	6.11	48.68	7.00	8.05	KAMW 060453Z AUTO 35007KT 10SM CLR 06/M04 A2993 RMK AO2 SLP134 T00611039
AMW	2026-05-06 05:53	-93.6185	41.9904	280.00	5.00	52.58	4.00	4.60	KAMW 060553Z AUTO 31004KT 10SM CLR 05/M04 A2995 RMK AO2 SLP143 T00501039 10133 20050 401610044 53015
AMW	2026-05-06 06:53	-93.6185	41.9904	280.00	4.44	54.66	6.00	6.90	KAMW 060653Z AUTO 31006KT 10SM CLR 04/M04 A2997 RMK AO2 SLP146 T00441039
AMW	2026-05-06 07:53	-93.6185	41.9904	280.00	4.44	52.43	6.00	6.90	KAMW 060753Z AUTO 33006KT 10SM CLR 04/M04 A2996 RMK AO2 SLP146 T00441044
AMW	2026-05-06 08:53	-93.6185	41.9904	280.00	5.00	52.58	6.00	6.90	KAMW 060853Z AUTO 34006KT 10SM CLR 05/M04 A2997 RMK AO2 SLP150 T00501039 51007
AMW	2026-05-06 09:53	-93.6185	41.9904	280.00	4.44	54.66	6.00	6.90	KAMW 060953Z AUTO 34006KT 10SM CLR 04/M04 A2999 RMK AO2 SLP155 T00441039
AMW	2026-05-06 10:53	-93.6185	41.9904	280.00	3.89	56.84	6.00	6.90	KAMW 061053Z AUTO 32006KT 10SM CLR 04/M04 A3000 RMK AO2 SLP158 T00391039
AMW	2026-05-06 11:53	-93.6185	41.9904	280.00	3.33	61.62	6.00	6.90	KAMW 061153Z AUTO 31006KT 10SM CLR 03/M03 A3002 RMK AO2 SLP168 T00331033 10050 20028 53017
AMW	2026-05-06 12:53	-93.6185	41.9904	280.00	6.11	48.68	7.00	8.05	KAMW 061253Z AUTO 34007KT 10SM CLR 06/M04 A3004 RMK AO2 SLP173 T00611039
